[2026-05-14T03:04:59.070Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:04:59.070Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:04:59.070Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:05:04.588Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:05:04.588Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:05:04.588Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:05:48.195Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:05:48.195Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:05:48.195Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:07:10.599Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:07:10.599Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:07:10.599Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:07:27.573Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:07:27.573Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:07:27.573Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:07:39.479Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:07:39.480Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:07:39.480Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:07:50.469Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:07:50.470Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:07:50.470Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
[2026-05-14T03:08:01.945Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore previous instructions"
[2026-05-14T03:08:01.945Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: Instruction override | matched: "ignore prior instructions"
[2026-05-14T03:08:01.945Z] BLOCK redacted | prompt_injection | bash | REDACTED injection: System prompt injection | matched: "new system prompt"
